time,00_bitset1,00_bitset2,00_bitset3,01_mm1,01_mm2,01_mm3,02_mv1,02_mv2,02_mv3,03_sort1,03_sort2,03_sort3,04_spmv1,04_spmv2,04_spmv3,brainfuck-bootstrap,brainfuck-mandelbrot-nerf,brainfuck-pi-nerf,conv0,conv1,conv2,crypto-1,crypto-2,crypto-3,dead-code-elimination-1,dead-code-elimination-2,dead-code-elimination-3,fft0,fft1,fft2,floyd-0,floyd-1,floyd-2,gameoflife-gosper,gameoflife-oscillator,gameoflife-p61glidergun,hoist-1,hoist-2,hoist-3,instruction-combining-1,instruction-combining-2,integer-divide-optimization-1,integer-divide-optimization-2,integer-divide-optimization-3,median0,median1,median2,shuffle0,shuffle1,shuffle2,sl1,sl2,sl3,stencil0,stencil1,transpose0,transpose1,transpose2
2022-06-30 20:24:30,3705638,7414280,11156639,14773884,12205481,9287783,7857205,5204504,6175552,2247302,38754228,7544447,7942890,4601627,6078388,-1,-1,-1,13195743,23411855,17388142,7801001,6357415,8404738,-1,-1,-1,11286733,24045523,23336884,112,90595,45269860,32118411,28088181,28209318,119049,-1,-1,299743,-1,-1,-1,-1,8278289,6578065,47547938,8066909,10618546,5587425,11847730,4257008,2029470,106000,146998,6874629,9304199,15445270
2022-06-30 20:36:39,3705638,7414280,11156639,14773884,12205481,9287783,7857205,5204504,6175552,2247302,38754228,7544447,7942890,4601627,6078388,-1,-1,-1,13195743,23411855,17388142,7745204,6350678,8396885,-1,-1,-1,11286733,24045523,23336884,112,90595,45269860,32118411,28088181,28209318,119049,-1,-1,299743,-1,-1,-1,-1,8278289,6578065,47547938,8066909,10618546,5587425,11847730,4257008,2029470,106000,146998,6874629,9304199,15445270
2022-06-30 21:00:53,3705638,7414280,11156639,14773884,12205481,9287783,7857205,5204504,6175552,2247302,38754228,7544447,7942890,4601627,6078388,-1,-1,-1,13195743,23411855,17388142,7745204,6350678,8396885,-1,-1,-1,11286733,24045523,23336884,112,90595,45269860,32118411,28088181,28209318,119049,-1,-1,299743,-1,-1,-1,-1,8278289,6578065,47547938,8066909,10618546,5587425,11847730,4257008,2029470,106000,146998,6874629,9304199,15445270
2022-06-30 21:13:26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11882445,4256490,2027310,-1,-1,-1,-1,-1
2022-07-01 09:06:23,-1,-1,-1,14504681,12116431,9765761,7810818,5190305,6171292,-1,-1,-1,7932731,4600604,5900640,-1,-1,-1,13195743,23411855,17388142,-1,-1,-1,-1,-1,-1,11280356,23994593,23263113,112,90595,45269860,32115083,28216488,28373739,119049,-1,-1,-1,-1,-1,-1,-1,7686957,6575750,46244325,8026578,10610234,5676333,11882445,4256490,2027310,106000,146998,6948729,9314005,15796828
2022-07-01 09:36:17,3705638,7414280,11156639,14504681,12116431,9765761,7810818,5190305,6171292,-1,-1,-1,7932731,4600604,5900640,-1,-1,-1,13195743,23411855,17388142,7745204,6350678,8396885,-1,-1,-1,11280356,23994593,23263113,112,90595,45269860,32115083,28216488,28373739,119049,-1,-1,-1,-1,-1,-1,-1,7686957,6575750,46244325,8026578,10610234,5676333,11882445,4256490,2027310,106000,146998,6948729,9314005,15796828
2022-07-01 11:12:40,3705638,7414280,11156639,14504681,12116431,9765761,7810818,5190305,6171292,2215615,38614247,7499278,7932731,4600604,5900640,-1,-1,-1,13195743,23411855,17388142,7745204,6350678,8396885,-1,-1,-1,11280356,23994593,23263113,112,90595,45269860,32115083,28216488,28373739,119049,-1,-1,299743,-1,-1,-1,-1,7686957,6575750,46244325,8026578,10610234,5676333,11882445,4256490,2027310,106000,146998,6948729,9314005,15796828
2022-07-02 16:19:38,3750338,7405195,11128374,14690087,12201379,9262465,7815082,5184138,6261550,2242402,38670817,7547580,7940375,4595479,5945727,-1,-1,-1,13204183,23428602,17411130,7741385,6346206,8398565,-1,-1,-1,11316087,24056056,23341064,112,90593,45309057,32113438,28133453,28271739,118925,-1,-1,300391,-1,-1,-1,-1,7686647,6629450,46271846,7726603,10591407,5600245,11787102,4256487,2019546,93467,168851,6703482,8885984,15857242
2022-07-02 16:33:54,3750338,7405195,11128374,14690087,12201379,9262465,7815082,5184138,6261550,2242402,38670817,7547580,7940375,4595479,5945727,-1,-1,-1,13204183,23428602,17411130,7741385,6346206,8398565,-1,-1,-1,11316087,24056056,23341064,112,90593,45309057,32105000,28111833,28235616,118930,-1,-1,300391,-1,-1,-1,-1,7686647,6629450,46271846,7726603,10591407,5600245,11787102,4256487,2019546,101483,159668,6703482,8885984,15857242
2022-07-21 15:23:07,2279586,4590434,6834947,9239743,8303023,6383140,6450469,3686772,4899445,1367408,21366254,4123694,4863061,3100745,3382356,19523638,-1,3347290,11834046,20089453,14793982,4361991,3575081,4730589,-1,-1,-1,6419958,13749792,13385042,82,63686,31665716,23379501,20725984,20651013,83700,-1,-1,42740,10936467,477544,-1,-1,4698575,3541274,27871556,6113218,9590467,4028245,9442304,3535843,1744934,55407,118913,3955897,4357682,11080467
2022-07-21 23:43:22,2318817,4559531,6840085,9235053,8323523,6360429,6447238,3683949,4891586,1375345,21448596,4120807,4863398,3068409,3396698,19469523,-1,3345134,11859930,20113237,14812341,4392605,3632946,4766451,-1,-1,-1,6691313,14276874,13823335,85,66985,33369071,23372838,20732104,20718050,83759,-1,-1,42808,10938495,469033,-1,-1,4697564,3539774,27862168,6068169,9333812,4044726,9557356,3534875,1741806,55830,127699,3908859,4310604,10597920
